#line	motif	seq	start	end	strand	seqLen	querybp	mRatio	m	mm	i	d
5433	telomere	cb1248a5-a257-45c5-9ad9-9110ef4a7b77	0	856	-	24000	857	90.6%	808	13	35	36
5437	telomere	fe551470-2854-473a-a687-b9fd8d1b1562	0	1396	-	29624	1441	93.9%	1369	10	17	62
5441	telomere	2c7532e2-ebad-4596-ae5c-a54321cc2529	8422	8555	+	8555	141	93.0%	132	0	1	9
5445	telomere	52757b0a-c61d-4ab8-8083-532499fd0307	0	831	-	28358	845	97.3%	825	3	3	17
5449	telomere	e7d1fb04-1a69-4a04-8ae8-23aaf197d182	6905	6994	+	6996	89	100.0%	89	0	0	0
5453	telomere	3f086371-c2a9-44d3-899b-04b84196b102	1	1384	-	11547	1385	97.9%	1368	3	12	14
5457	telomere	e2b4662d-61f2-4a9b-82e5-135b29c0668c	0	589	-	10411	576	97.0%	573	1	15	2
5461	telomere	cd32a13f-4aa4-4462-a863-9e668c44e5ff	18410	18470	+	18488	60	100.0%	60	0	0	0
5465	telomere	5efe1feb-dc6e-497a-ae96-a98a38c59b2d	17162	17239	+	17239	77	97.4%	76	0	1	1
5469	telomere	a646d110-4c5f-4e1c-995e-6f40ce3ae2ab	0	1197	-	22324	1220	98.0%	1196	0	1	24
5473	telomere	fc8ef950-44a2-4bad-ab54-dad9a7877abb	0	1024	-	20638	1057	94.3%	1008	4	12	45
5477	telomere	8a814434-d01a-48f8-b17f-d4c14a9f9368	0	1179	-	11640	1181	98.3%	1169	2	8	10
5481	telomere	f90ee9de-e159-4ef8-a0ed-ab746dbe2ea5	16116	16169	+	16205	53	100.0%	53	0	0	0
5485	telomere	b5fc8565-ecc4-45b9-8a8f-dae3b0273c5c	3	984	-	12326	986	96.1%	962	4	15	20
5489	telomere	1dbeff0b-7bdc-4422-95c3-9e7652dc02c0	0	1634	-	11063	1650	97.2%	1618	2	14	30
5493	telomere	11c7d467-b6a2-4541-947f-d6a0a9504d41	0	710	-	17553	708	97.6%	699	3	8	6
5497	telomere	907026fa-3795-4b65-a584-7a76a16ebd99	0	72	-	12869	73	95.9%	71	0	1	2
5501	telomere	907026fa-3795-4b65-a584-7a76a16ebd99	161	10155	-	12869	10303	93.8%	9769	114	111	420
5505	telomere	907026fa-3795-4b65-a584-7a76a16ebd99	10335	10673	-	12869	348	93.8%	330	4	4	14
5509	telomere	907026fa-3795-4b65-a584-7a76a16ebd99	10882	11001	-	12869	124	95.2%	118	1	0	5
5513	telomere	907026fa-3795-4b65-a584-7a76a16ebd99	11265	12869	-	12869	1680	90.1%	1540	34	30	106
5517	telomere	f4130cd8-90ff-49c7-886e-0518ab126e1a	29557	29611	+	29612	54	100.0%	54	0	0	0
5521	telomere	660b5931-5b91-4a2e-9743-e2b2eb39b1b9	4	293	-	15442	295	95.6%	284	3	2	8
5525	telomere	93269306-4cb8-4c03-9d09-9f2ff627c3eb	0	11067	-	11068	11303	96.8%	10984	42	41	277
5529	telomere	c4f525e1-299b-44b6-b69c-6c4f0ef2bfeb	11	1432	-	6328	1434	98.5%	1416	2	3	16
5533	telomere	6a0f5237-7168-47af-9b66-eb840ef83540	1	790	-	7913	785	95.9%	768	5	16	12
5537	telomere	5b7c14e5-c32d-45e5-80fd-6461d504ac84	1	8533	-	18896	8568	96.6%	8392	19	121	157
5541	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	0	6622	-	18205	6929	92.4%	6468	86	68	375
5545	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	6726	9543	-	18205	2956	91.3%	2735	43	39	178
5549	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	9700	11077	-	18205	1425	94.0%	1351	14	12	60
5553	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	11342	11456	-	18205	119	90.8%	109	4	1	6
5557	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	11567	12594	-	18205	1081	89.5%	987	18	22	76
5561	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	12682	13924	-	18205	1331	88.8%	1194	35	13	102
5565	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	14073	16243	-	18205	2254	94.1%	2137	15	18	102
5569	telomere	e5adc8f2-9330-448f-aa62-bdc01e86aefc	16427	18205	-	18205	1843	90.9%	1708	35	35	100
5573	telomere	2a343350-8df7-4464-bf90-11c016081381	20022	20921	+	21041	959	90.4%	869	28	2	62
5577	telomere	2a343350-8df7-4464-bf90-11c016081381	20950	21041	+	21041	90	94.5%	86	4	1	0
5581	telomere	b8ac517e-abe8-4ee7-a8b4-2c1f7cd5cae7	14582	14824	+	14824	251	91.7%	233	6	3	12
5585	telomere	822996b2-b19e-4b30-976b-da70309aeee8	0	769	-	34028	774	98.3%	763	4	2	7
5589	telomere	17da306c-ebe8-4cab-b278-025b8c347dc7	4	17193	-	17193	17241	99.4%	17163	1	25	77
5593	telomere	cb1c49d4-08b1-462b-b3da-17d47c9db0d7	6	837	-	11941	829	96.0%	811	4	16	14
5597	telomere	f896cc90-ef26-4659-aa55-4388fe32adb4	24594	24642	+	24645	48	100.0%	48	0	0	0
5601	telomere	ae583bd4-df31-4b9f-bbdf-2a39f48f281b	0	14812	-	14812	15244	95.3%	14633	73	106	538
5605	telomere	6fed14e9-0899-4f80-8c3a-91e16924c444	10	975	-	25054	964	96.5%	943	9	13	12
5609	telomere	d5e3a5ba-af1f-4a74-928a-5352e9ac3f7a	3	180	-	4488	186	93.5%	174	3	0	9
5613	telomere	d5e3a5ba-af1f-4a74-928a-5352e9ac3f7a	369	2708	-	4488	2440	92.3%	2281	26	32	133
5617	telomere	d5e3a5ba-af1f-4a74-928a-5352e9ac3f7a	2799	3951	-	4488	1244	87.7%	1103	36	13	105
5621	telomere	d5e3a5ba-af1f-4a74-928a-5352e9ac3f7a	4110	4488	-	4488	391	93.2%	370	2	6	19
5625	telomere	70727f06-1f28-4449-af62-fc1cf9e444c4	0	1047	-	12467	1050	98.8%	1042	0	5	8
5629	telomere	37cceb4b-9e40-456e-b715-e7b058e72c03	0	746	-	38384	744	98.5%	739	1	6	4
5633	telomere	3e723350-0cdf-4385-adfb-c790607d0bc1	31954	32023	+	32023	69	98.6%	68	1	0	0
5637	telomere	a799aaea-2080-4343-a23e-92a02ea5237f	4	309	-	9138	320	89.8%	292	8	5	20
5641	telomere	a799aaea-2080-4343-a23e-92a02ea5237f	408	6035	-	9138	5867	92.4%	5484	77	66	306
5645	telomere	00836b9f-cb08-44d3-9039-ab89b2cb6c85	22109	22240	+	22241	131	96.2%	126	5	0	0
5649	telomere	b7071b5b-e198-4ce1-9dc0-c2c379269893	16178	16273	+	16320	101	93.1%	94	1	0	6
5653	telomere	03b1b93c-21f8-4527-8ce3-47e9bb89813e	19	1557	-	14465	1532	98.4%	1523	0	15	9
5657	telomere	b186f792-81b1-4fdd-97b1-7aa30e1fcfe1	0	1331	-	16506	1344	99.0%	1330	1	0	13
5661	telomere	e099317f-e4e5-40de-90a9-4977c17a1010	7	877	-	15182	891	95.8%	859	5	6	27
5665	telomere	2421a44c-4d3c-40a3-8f5e-8add17050dd9	12895	13003	+	13009	108	99.1%	107	1	0	0
5669	telomere	3f9378c7-bd3d-4b4f-917b-190fac212c41	5	799	-	20498	800	94.7%	773	5	16	22
5673	telomere	36c2a58a-1c2c-4367-972e-f999ad4a7d19	0	1252	-	6419	1259	98.9%	1248	1	3	10
5677	telomere	83aa4705-f558-41d3-912f-1d0a167ea835	0	637	-	15572	654	94.1%	623	6	8	25
5681	telomere	3771fc96-3d8f-44f5-adb1-04723225b34b	0	10764	-	29675	10805	98.4%	10694	5	65	106
5685	telomere	3771fc96-3d8f-44f5-adb1-04723225b34b	11110	11170	-	29675	60	100.0%	60	0	0	0
5689	telomere	a5faaf48-b76c-44cc-8cb4-2d549aac31ac	9280	9322	+	9342	42	97.6%	41	1	0	0
5693	telomere	cfd03848-48c3-475d-82de-ec0041f35e23	17648	17737	+	17739	89	98.9%	88	1	0	0
5697	telomere	640ab4da-47e7-4c78-962a-5d22820d8d4b	0	4422	-	26881	4500	95.4%	4345	23	54	132
5701	telomere	640ab4da-47e7-4c78-962a-5d22820d8d4b	4616	6258	-	26881	1729	88.2%	1555	53	34	121
5705	telomere	640ab4da-47e7-4c78-962a-5d22820d8d4b	6381	7406	-	26881	1070	90.4%	983	25	17	62
5709	telomere	33d69f27-4fce-42ab-8088-98a233746e03	0	21053	-	28584	21511	95.7%	20760	108	185	643
5713	telomere	bc0e324c-de10-4732-8fec-cfa64bb29c64	0	962	-	21005	986	95.8%	952	2	8	32
5717	telomere	2c07cd8b-11ab-41e2-aba4-48a5ccc8bc44	0	19270	-	20709	19810	95.1%	18968	157	145	685
5721	telomere	2c07cd8b-11ab-41e2-aba4-48a5ccc8bc44	19336	19435	-	20709	99	94.1%	96	0	3	3
5725	telomere	f62d9a2e-8a46-47e6-8bb8-6f22119f21dd	0	20009	-	20031	20482	95.5%	19723	109	177	650
5729	telomere	a184351f-2528-40a1-aeb1-2906a78f87d9	26	1128	-	18625	1109	98.1%	1095	0	7	14
5733	telomere	d0d3db18-9db5-4066-8e6f-237453bbac6f	1	6951	-	11819	7127	95.8%	6875	26	49	226
5737	telomere	0476b447-653b-46b7-9f35-77f171bbd39b	10529	10624	+	10671	96	96.9%	94	0	1	2
5741	telomere	0476b447-653b-46b7-9f35-77f171bbd39b	10630	10671	+	10671	41	97.6%	40	1	0	0
5745	telomere	756e1422-6347-4574-8f32-789388b58d3c	18124	18187	+	18187	63	100.0%	63	0	0	0
5749	telomere	f8427947-c712-463d-bb69-a54d09b392a5	29351	29394	+	29398	44	97.7%	43	0	0	1
5753	telomere	e720598d-5fe4-4b43-b561-55e4ebee0c22	40	1042	-	28486	1005	96.6%	985	2	15	18
5757	telomere	43b043d0-c91c-493c-be31-3e3c6fd7df44	9439	9504	+	9504	66	92.5%	62	2	1	2
5761	telomere	6f2e9e66-67e4-4392-9fc6-9904fe25b915	29568	29655	+	29657	89	96.6%	86	1	0	2
5765	telomere	842569e0-10bc-423e-8870-464dfe5b5a8b	5949	6109	+	6111	167	94.0%	158	1	1	8
5769	telomere	b1cd5cea-00f1-4758-9d8a-4b9afd4bc072	0	1150	-	7142	1184	95.7%	1140	3	7	41
5773	telomere	ca02c8d0-1f39-4a65-822f-80c91e811f71	32760	32830	+	32831	70	95.7%	67	3	0	0
5777	telomere	bb99dc72-047b-456d-8bc3-51c2c91fb90b	13612	13757	+	13757	150	93.3%	140	5	0	5
5781	telomere	682e10ae-b9a3-435b-880a-05cffae31ccd	1	785	-	21282	779	95.1%	761	2	21	16
5785	telomere	1365ce5a-6af1-48f6-9e3c-92755bf725ee	6	1991	-	8067	2041	93.3%	1932	23	30	86
5789	telomere	24f6bf4e-679b-4c03-8e98-3448cb168862	7189	8915	+	8915	1862	90.6%	1689	34	3	139
5793	telomere	a8f46adc-2ce1-4b89-8ddd-7675af2998a2	9779	9821	+	9825	42	100.0%	42	0	0	0
5797	telomere	82a235b6-e811-406b-8d85-90dc0ab7288c	18608	18649	+	18689	41	100.0%	41	0	0	0
5801	telomere	ac0c37a1-2c41-4714-9602-ae902faa6297	20	1012	-	37698	1010	96.3%	980	4	8	26
5805	telomere	eb1151b6-67e2-438d-8dcb-53e314092d49	32385	32448	+	32462	65	92.3%	60	3	0	2
5809	telomere	277772c4-6a21-423e-ac4c-f16de69f76d1	46	994	-	42521	979	95.2%	938	4	6	37
5813	telomere	8458d296-46cb-4bd6-9bdb-53ad78e2524d	0	622	-	18219	611	97.9%	610	0	12	1
5817	telomere	5a313995-2dda-4121-af0e-50b08e04d4f3	18	1069	-	7947	1075	93.2%	1021	9	21	45
5821	telomere	d45784e2-52cc-491e-b0ea-076eb1a34c1f	39321	39489	+	39489	174	92.6%	162	5	1	7
5825	telomere	a5a1d0ab-a29c-44e5-81b8-2cee812a6964	26	16198	-	16198	16411	97.3%	16055	26	91	330
5829	telomere	f0333f4b-b4df-465c-93f3-499195f6e2b0	27735	27806	+	27810	71	100.0%	71	0	0	0
5833	telomere	a2103b09-b8e1-465e-9e53-b804eaf69c08	8658	8749	+	8750	95	95.8%	91	0	0	4
5837	telomere	3ffa0a09-e3ca-4968-8c5e-27101702666f	7439	7484	+	7486	45	100.0%	45	0	0	0
5841	telomere	52029acf-f6b1-4733-9122-ce7526d5b8ae	24652	24706	+	24742	54	98.1%	53	1	0	0
5845	telomere	47ad78e0-cd03-465d-bc7b-c3f3ddd438ba	4	631	-	27608	631	96.7%	617	3	7	11
5849	telomere	0cb90135-96f0-4402-9c2e-c08183b2b9cd	21154	21402	+	21402	257	92.7%	241	4	3	12
5853	telomere	b1f6e019-ce16-4ac4-a2a4-c3a24f8a6a0c	0	635	-	13761	633	98.6%	629	1	5	3
5857	telomere	89136a47-07ab-4c7f-92e2-1296688de5d3	7	1334	-	26686	1339	98.7%	1324	1	2	14
5861	telomere	ade011b5-e72a-4c7f-8e95-b43bd92036c6	0	8868	-	8868	9268	89.8%	8487	200	181	581
5865	telomere	e0fbfa50-1f85-4788-889b-343733a5387e	11233	11420	+	11422	191	96.4%	185	1	1	5
5869	telomere	4b2cc9a2-5110-4b06-8bc8-ce0bb54e71a6	0	619	-	17452	625	97.5%	614	0	5	11
5873	telomere	e140b304-29a0-425a-8942-f85a4afc7945	0	71	-	15149	73	95.9%	70	1	0	2
5877	telomere	913f59df-6f47-4070-b9d5-480f79e290d4	0	719	-	11071	731	95.7%	704	10	5	17
5881	telomere	a6d6e8fc-50ef-40bf-b451-c9e35a6393e0	12846	12926	+	12926	83	94.0%	79	0	1	4
5885	telomere	2c4c75a9-f302-4296-a4bd-142f6f4568af	23484	23579	+	23581	101	92.1%	93	2	0	6
5889	telomere	205ba2a0-88de-43ca-b195-63ab558d83fb	30343	30406	+	30423	63	96.9%	62	0	1	1
5893	telomere	b3433bbc-f7dd-4c26-a63b-b100caa1e843	0	6629	-	9187	6770	93.7%	6452	58	119	260
5897	telomere	104b1ec6-fd79-46ea-9be1-a74e47dd075f	25	983	-	6590	961	94.7%	931	5	22	25
5901	telomere	76f64eed-dd41-458a-b708-0164075d323d	25389	25440	+	25440	51	98.0%	50	1	0	0
5905	telomere	701083c7-f31a-4aeb-98ac-681a3fd16187	36742	36793	+	36794	53	94.3%	50	1	0	2
5909	telomere	37c7ffd1-0e87-4333-97c6-5e0bd32f2d5b	27760	27915	+	27933	161	92.5%	149	6	0	6
5913	telomere	488b1c20-62da-4d78-91d3-45b57bdc48c0	30425	30492	+	30498	65	94.0%	63	2	2	0
5917	telomere	ecffbfab-ec69-48ac-8a12-a9e6a3bd7df5	29397	29530	+	29532	138	93.5%	129	4	0	5
5921	telomere	4aebaca2-03a5-4288-8685-e5a50a82746e	30784	30898	+	30934	113	96.5%	110	3	1	0
5925	telomere	13f47001-6369-41b3-ae5f-4532311a0433	42	996	-	29287	977	96.2%	946	2	6	29
5929	telomere	c94cf4ba-e132-4cad-8f47-3436bea0026a	0	1240	-	33494	1254	97.3%	1228	4	8	22
5933	telomere	e41eb8ee-7696-4c8a-b8b6-d6905d6faa61	0	975	-	15741	977	98.7%	969	1	5	7
5937	telomere	98bf64e6-59ff-46d9-ba74-27b6e65c4aa2	1	975	-	7456	978	97.3%	961	3	10	14
5941	telomere	ff047fc9-ec82-4aa6-9dfd-e8cd532f81d7	1209	2068	+	9898	910	91.4%	837	16	6	57
5945	telomere	ff047fc9-ec82-4aa6-9dfd-e8cd532f81d7	2150	6291	+	9898	4426	90.8%	4047	61	33	318
5949	telomere	ff047fc9-ec82-4aa6-9dfd-e8cd532f81d7	6386	9115	+	9898	2886	91.8%	2671	35	23	180
5953	telomere	ff047fc9-ec82-4aa6-9dfd-e8cd532f81d7	9167	9240	+	9898	72	97.3%	71	1	1	0
5957	telomere	ff047fc9-ec82-4aa6-9dfd-e8cd532f81d7	9392	9475	+	9898	88	92.1%	82	0	1	6
5961	telomere	ff047fc9-ec82-4aa6-9dfd-e8cd532f81d7	9578	9864	+	9898	296	90.4%	272	9	5	15
5965	telomere	7ee30138-5196-4643-a9b0-22cb7a7337bd	15877	15930	-	31289	58	89.7%	52	1	0	5
5969	telomere	7ee30138-5196-4643-a9b0-22cb7a7337bd	15973	16055	-	31289	86	94.2%	81	1	0	4
5973	telomere	7ee30138-5196-4643-a9b0-22cb7a7337bd	16185	16562	-	31289	389	95.4%	374	0	3	15
5977	telomere	7ee30138-5196-4643-a9b0-22cb7a7337bd	15534	15627	+	31289	95	89.5%	85	8	0	2
5981	telomere	7ee30138-5196-4643-a9b0-22cb7a7337bd	15443	15485	+	31289	42	95.2%	40	2	0	0
5985	telomere	7ee30138-5196-4643-a9b0-22cb7a7337bd	14952	15006	+	31289	53	90.7%	49	4	1	0
5989	telomere	fa316eaf-54c7-449a-aec7-5d1272e1f3b4	31351	31488	+	31494	137	99.3%	136	1	0	0
5993	telomere	df0c59b2-d6a6-41ed-bba1-3cc4001aa1f1	12883	12985	+	12985	102	92.3%	96	4	2	2
5997	telomere	d0cb91a2-d10b-49d4-aeb2-ad735be6eacf	3	1293	-	18960	1297	99.3%	1289	0	1	8
6001	telomere	941207bc-1e9e-483e-8cb7-4fdc9a4dec4f	0	853	-	7679	880	91.4%	821	14	18	45
6005	telomere	0696a8a1-a46b-45d4-be5d-ddd2338a3cd5	1	8480	-	13483	8817	91.6%	8205	132	142	480
6009	telomere	0696a8a1-a46b-45d4-be5d-ddd2338a3cd5	8754	9752	-	13483	1065	86.4%	940	35	23	90
6013	telomere	0696a8a1-a46b-45d4-be5d-ddd2338a3cd5	10035	10189	-	13483	162	91.5%	150	2	2	10
6017	telomere	0696a8a1-a46b-45d4-be5d-ddd2338a3cd5	10303	13483	-	13483	3287	89.0%	3007	80	93	200
6021	telomere	7ec22bf8-8604-4802-abfa-d34c97fb2ff2	0	888	-	30419	884	98.3%	877	3	8	4
6025	telomere	d7ff9c6b-67dd-4856-8c7b-6dbf79b658f1	0	640	-	20392	651	93.7%	621	7	12	23
6029	telomere	14dc4568-1839-4da0-9138-04ec151f6b01	17604	17755	+	17755	158	92.4%	146	5	0	7
6033	telomere	bc7435ec-04a8-4e53-859f-ae69b9e468fc	0	491	-	5576	481	95.8%	474	3	14	4
6037	telomere	652c60ae-16fa-4a0c-a0cb-832a50139309	0	768	-	12982	771	98.2%	762	1	5	8
6041	telomere	04e7a81d-0368-41de-902b-b6b5a47b9379	0	345	-	14210	347	98.3%	343	0	2	4
6045	telomere	eeb16b72-e1b2-4372-b9e1-42faa9d526a6	12479	12567	+	12569	90	94.5%	86	1	1	3
6049	telomere	51146943-2b39-4c44-8850-0a54f4adf702	0	1376	-	8145	1416	95.9%	1365	4	7	47
6053	telomere	ab70dd73-3939-4cf5-87ff-41751856b005	0	773	-	11042	787	96.0%	763	2	8	22
6057	telomere	4c2a1d2a-b571-45d8-9902-2901ddec6da5	0	1041	-	16174	1041	99.2%	1037	0	4	4
6061	telomere	8c18acb9-dd78-4f30-948c-7b2e2c1b5d06	32	1219	-	17274	1205	97.8%	1182	2	3	21
6065	telomere	31d308d6-f2e8-4b8c-bcab-60808248f4c9	0	423	-	26844	413	95.3%	407	2	14	4
6069	telomere	0edb488e-1b5a-47b1-9025-a109f344d0c8	25794	25905	+	25905	111	99.1%	110	1	0	0
6073	telomere	4a601e0e-4369-416a-a225-a2e71f3d5135	3	9414	-	19528	9650	93.2%	9139	114	158	397
6077	telomere	4a601e0e-4369-416a-a225-a2e71f3d5135	9566	13843	-	19528	4433	92.0%	4141	68	68	224
6081	telomere	4a601e0e-4369-416a-a225-a2e71f3d5135	14082	15381	-	19528	1348	90.8%	1247	27	25	74
6085	telomere	4a601e0e-4369-416a-a225-a2e71f3d5135	15493	19030	-	19528	3628	91.4%	3400	45	92	183
6089	telomere	4a601e0e-4369-416a-a225-a2e71f3d5135	19140	19428	-	19528	291	98.3%	287	0	1	4
6093	telomere	e2db7330-ba5d-4502-b5f3-af59bcf67157	5	1176	-	8087	1178	95.2%	1139	14	18	25
6097	telomere	94b30609-cb16-4738-b580-d1465728d189	0	3991	-	16754	4137	93.8%	3917	37	37	183
6101	telomere	94b30609-cb16-4738-b580-d1465728d189	4096	15872	-	16754	12258	93.2%	11526	141	109	591
6105	telomere	94b30609-cb16-4738-b580-d1465728d189	16018	16754	-	16754	768	92.3%	718	8	10	42
6109	telomere	620fad0d-3866-4721-b633-152a9f73f71c	0	1003	-	19592	1004	98.7%	997	0	6	7
6113	telomere	239800ba-322d-4432-bedb-e5d4908473da	18413	18518	+	18518	107	95.3%	102	3	0	2
6117	telomere	a1b047eb-e4e1-4d39-98af-e6b2d8b5c1c1	0	514	-	17880	516	98.3%	509	3	2	4
6121	telomere	6f674428-de14-4d28-9adb-69f305a3fe66	4	1286	-	10714	1297	97.3%	1272	0	10	25
6125	telomere	5d717874-4275-4bde-bf03-f7886534551b	0	1667	-	30251	1670	98.1%	1652	1	14	17
6129	telomere	9e314ac8-7e07-4109-b094-8b2dacffbbf7	0	822	-	29567	811	97.5%	806	0	16	5
6133	telomere	b6456ec4-a55e-4434-bc7e-be9dc04896ca	0	1237	-	22650	1244	98.8%	1233	0	4	11
6137	telomere	942a3de3-7853-4a1c-88ee-d3c0b9b418db	0	1334	-	5051	1358	96.9%	1324	1	9	33
6141	telomere	fe452700-0a46-457f-9ebf-c45e59bac576	1	1181	-	7220	1188	96.8%	1163	3	14	22
6145	telomere	8d893265-caef-41a0-9dd3-49c1bc17f9a3	18090	18152	+	18152	62	100.0%	62	0	0	0
6149	telomere	388c9c36-e8b8-4415-bf00-6df2334a3a57	0	15273	-	29759	15453	96.6%	15073	43	157	337
6153	telomere	56febbd9-00f8-4dcd-982e-ce11ca03acf8	18	805	-	13322	788	98.5%	780	3	4	5
6157	telomere	f87438d2-8480-476a-bbbe-3113c97892fd	29391	29560	+	29562	173	96.0%	166	3	0	4
6161	telomere	3917a30a-612e-4f23-8e90-6e26d5ccde69	8	700	-	28544	702	95.5%	679	4	9	19
6165	telomere	62ba1dbe-5648-4698-a446-4b59dff3ccbd	27532	27631	+	27632	103	95.1%	98	1	0	4
6169	telomere	d0b7ab4f-e9ad-4045-8213-69ea1b63ab1a	12259	12334	+	12334	78	94.9%	74	1	0	3
6173	telomere	a3872fb5-81e1-4ba0-83b6-030aa79059ff	9482	10890	+	14902	1554	88.3%	1375	30	3	149
6177	telomere	a3872fb5-81e1-4ba0-83b6-030aa79059ff	11099	11877	+	14902	834	89.7%	755	15	8	64
6181	telomere	a3872fb5-81e1-4ba0-83b6-030aa79059ff	12048	13771	+	14902	1848	89.9%	1677	29	17	142
6185	telomere	a3872fb5-81e1-4ba0-83b6-030aa79059ff	13863	14843	+	14902	1068	88.8%	953	22	5	93
6189	telomere	a3872fb5-81e1-4ba0-83b6-030aa79059ff	14859	14902	+	14902	46	93.5%	43	0	0	3
6193	telomere	4c892b9f-f6ef-4fc4-9b23-c1181620cd71	0	895	-	29782	885	96.7%	874	2	19	9
6197	telomere	3a0aa2eb-703c-4429-acdc-1f056459e1cf	8334	8405	+	8427	71	98.6%	70	1	0	0
6201	telomere	2b8c5df7-5ac8-42d7-b255-774c6e6dbcd0	42	593	-	30846	570	93.1%	536	9	6	25
6205	telomere	1131ae62-9210-4ce0-a069-e2545d82c4aa	0	17382	-	17383	17607	98.3%	17341	4	37	262
6209	telomere	be0a1565-9e51-4b40-b479-bd5e1a86b435	0	380	-	32083	381	94.3%	365	9	6	7
6213	telomere	42a9f68c-9478-4eba-b10f-c4cdf2d8d770	7867	7933	+	7933	67	97.0%	65	1	0	1
6217	telomere	d75afb5a-63ce-4029-887b-bfc4be652fc6	0	604	-	9944	607	95.2%	589	3	12	15
6221	telomere	495050df-bb7e-4822-b6e6-d52842536490	0	463	-	12100	491	90.6%	451	5	7	35
6225	telomere	9eef499a-5e41-48ad-a942-ea63a0a14388	0	53	-	21120	55	92.9%	52	0	1	3
6229	telomere	9eef499a-5e41-48ad-a942-ea63a0a14388	203	12154	-	21120	12130	96.3%	11794	41	116	295
6233	telomere	c1ad855f-e3c3-4ed1-bbf6-931b5abf07b7	0	1076	-	27675	1091	97.8%	1071	1	4	19
6237	telomere	c312801a-2268-4681-be42-1cfce7c3d2c8	0	16223	-	22124	16499	95.4%	15939	76	208	484
6241	telomere	70679778-2c40-4941-98e1-dcf033342877	21145	21291	+	21299	153	94.8%	145	1	0	7
6245	telomere	51649f83-72dd-4e9a-90fa-0829fd80a384	29672	29731	+	29731	59	91.8%	56	1	2	2
6249	telomere	87dfd8cb-0201-486b-a7be-5de172c5cad7	5	441	-	34548	445	91.6%	416	11	9	18
6253	telomere	eecb6450-505c-4381-8493-5fd6bd318d5f	116	1048	-	2534	946	92.8%	896	16	20	34
6257	telomere	eecb6450-505c-4381-8493-5fd6bd318d5f	1178	2534	-	2534	1406	89.9%	1296	25	35	85
6261	telomere	46c975f4-3ffb-4ec2-aac7-2c5ec49324c0	1	554	-	9245	579	91.7%	539	5	9	35
6265	telomere	c73848b3-5551-4da0-9491-2681d26398fa	18368	18412	+	18419	45	93.3%	42	2	0	1
6269	telomere	8f52bb50-5c40-447f-b042-aaaecf358d3e	0	483	-	14312	480	96.9%	474	0	9	6
6273	telomere	1024ddf6-8943-426b-a251-3387cc5a07a7	0	636	-	14517	639	92.1%	610	3	23	26
6277	telomere	24e59ebf-bc6f-4045-8b2e-ae269367410f	0	733	-	19511	721	97.7%	718	1	14	2
6281	telomere	e5b191dc-f781-48ea-b23b-1e2961270d57	0	865	-	20547	855	97.7%	850	0	15	5
6285	telomere	24d1e1e0-eab1-4539-b133-c61c88bb265f	6	951	-	21271	957	94.4%	920	7	18	30
6289	telomere	cdf5d66e-e4b0-49a5-b338-693d7fd8afa8	0	617	-	19905	611	95.8%	599	4	14	8
6293	telomere	1969145b-53b6-4145-bfe4-ffd3198ece9e	0	1203	-	19313	1211	97.6%	1191	3	9	17
6297	telomere	4f61e360-a1d4-4ef6-a867-f94e806972de	23877	23949	+	23963	71	97.2%	70	1	1	0
6301	telomere	80e92f1c-0691-483d-a19b-207fa3b0598a	0	1336	-	23616	1383	94.4%	1316	9	11	58
6305	telomere	7250d8e7-2319-4bbb-9c21-d2da4ff0d5de	19051	19115	+	19129	65	98.5%	64	0	0	1
6309	telomere	fcf52e0e-37c3-4bd3-a102-bb364adc40ee	9098	10234	+	10330	1204	92.2%	1115	16	5	73
6313	telomere	8891a489-01a2-4099-ae10-0c501b59e2ab	0	569	-	23698	572	94.0%	549	8	12	15
6317	telomere	a5829745-c8e0-403e-bbd9-f2e005ba7d31	4	594	-	15398	589	95.2%	573	4	13	12
6321	telomere	d3622745-1b3b-4e38-86c4-0a7d79e716fb	0	9387	-	12010	9737	92.3%	9123	117	147	497
6325	telomere	a32a0be0-7f03-4fff-a3f8-9e3d806ddbbf	9	686	-	14318	673	94.5%	654	4	19	15
6329	telomere	8a33a4ac-84be-428c-be14-d44f2f15bae5	7	572	-	26690	575	95.2%	555	2	8	18
6333	telomere	76a42bfb-ee49-4124-9a68-6ddc15be9b35	10896	11221	+	11221	347	90.5%	314	11	0	22
6337	telomere	81b5a4ef-1393-4c5a-9412-56d33b744a74	0	4172	-	12909	4275	92.6%	4038	48	86	189
6341	telomere	81b5a4ef-1393-4c5a-9412-56d33b744a74	4262	12909	-	12909	8907	93.0%	8420	80	147	407
6345	telomere	8d14beab-7b93-44c5-9bf9-f4fe1e4ccd5b	1	7317	-	14840	7458	96.0%	7220	37	59	201
6349	telomere	0dbf8b8c-b9c3-4b75-b58d-9a9387a4faf1	10007	10164	+	10164	167	91.1%	153	3	1	11
6353	telomere	42f74031-a9dd-4925-b0d5-810a0f7b04ef	1	7016	-	32670	7118	94.7%	6852	42	121	224
